seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora
3	一層	いっそう	3	一生	いっしょう	2	そ	しょ
3	上等	じょうとう	3	相当	そうとう	0	じょ	そ
3	中学	ちゅうがく	3	通学	つうがく	0	ちゅ	つ
3	中学	ちゅうがく	4	数学	すうがく	0	ちゅ	す
3	中心	ちゅうしん	3	通信	つうしん	0	ちゅ	つ
3	乾燥	かんそう	3	勘定	かんじょう	2	そ	じょ
3	乾燥	かんそう	3	感情	かんじょう	2	そ	じょ
3	人工	じんこう	3	信仰	しんこう	0	じ	し
3	人工	じんこう	3	振興	しんこう	0	じ	し
3	人工	じんこう	3	新興	しんこう	0	じ	し
3	人工	じんこう	3	進行	しんこう	0	じ	し
3	信仰	しんこう	4	人口	じんこう	0	し	じ
3	修飾	しゅうしょく	3	昼食	ちゅうしょく	0	しゅ	ちゅ
3	優勝	ゆうしょう	3	友情	ゆうじょう	2	しょ	じょ
3	勘定	かんじょう	3	感想	かんそう	2	じょ	そ
3	協調	きょうちょう	4	競争	きょうそう	2	ちょ	そ
3	少々	しょうしょう	3	症状	しょうじょう	2	しょ	じょ
3	就職	しゅうしょく	3	昼食	ちゅうしょく	0	しゅ	ちゅ
3	強調	きょうちょう	4	競争	きょうそう	2	ちょ	そ
3	心臓	しんぞう	3	慎重	しんちょう	2	ぞ	ちょ
3	心臓	しんぞう	3	身長	しんちょう	2	ぞ	ちょ
3	感情	かんじょう	3	感想	かんそう	2	じょ	そ
3	成人	せいじん	3	精神	せいしん	2	じ	し
3	成長	せいちょう	3	製造	せいぞう	2	ちょ	ぞ
3	振興	しんこう	4	人口	じんこう	0	し	じ
3	採集	さいしゅう	3	最中	さいちゅう	2	しゅ	ちゅ
3	新興	しんこう	4	人口	じんこう	0	し	じ
3	最中	さいちゅう	3	最終	さいしゅう	2	ちゅ	しゅ
3	正体	しょうたい	3	状態	じょうたい	0	しょ	じょ
3	減少	げんしょう	3	現状	げんじょう	2	しょ	じょ
3	現状	げんじょう	3	現象	げんしょう	2	じょ	しょ
3	生長	せいちょう	3	製造	せいぞう	2	ちょ	ぞ
3	症状	しょうじょう	3	頂上	ちょうじょう	0	しょ	ちょ
3	通学	つうがく	4	数学	すうがく	0	つ	す
3	進行	しんこう	4	人口	じんこう	0	し	じ
4	工場	こうじょう	4	校長	こうちょう	2	じょ	ちょ
3	ずっと	ずっと	4	すっと	すっと	0	ず	す
3	ずれる	ずれる	4	連れる	つれる	0	ず	つ
3	そっと	そっと	5	ちょっと	ちょっと	0	そ	ちょ
3	上司	じょうし	3	調子	ちょうし	0	じょ	ちょ
3	中止	ちゅうし	3	重視	じゅうし	0	ちゅ	じゅ
3	主張	しゅちょう	3	首相	しゅしょう	1	ちょ	しょ
3	主要	しゅよう	3	需要	じゅよう	0	しゅ	じゅ
3	事件	じけん	4	試験	しけん	0	じ	し
3	児童	じどう	3	指導	しどう	0	じ	し
3	動詞	どうし	3	同時	どうじ	2	し	じ
3	同士	どうし	3	同時	どうじ	2	し	じ
3	同志	どうし	3	同時	どうじ	2	し	じ
3	周囲	しゅうい	4	注意	ちゅうい	0	しゅ	ちゅ
3	四角	しかく	5	近く	ちかく	0	し	ち
3	地球	ちきゅう	3	支給	しきゅう	0	ち	し
3	地球	ちきゅう	3	至急	しきゅう	0	ち	し
3	境	さかい	4	社会	しゃかい	0	さ	しゃ
3	後者	こうしゃ	5	紅茶	こうちゃ	2	しゃ	ちゃ
3	患者	かんじゃ	3	感謝	かんしゃ	2	じゃ	しゃ
3	指導	しどう	3	自動	じどう	0	し	じ
3	捜査	そうさ	3	調査	ちょうさ	0	そ	ちょ
3	操作	そうさ	3	調査	ちょうさ	0	そ	ちょ
3	支店	してん	4	辞典	じてん	0	し	じ
3	時刻	じこく	3	遅刻	ちこく	0	じ	ち
3	校舎	こうしゃ	5	紅茶	こうちゃ	2	しゃ	ちゃ
3	次第	しだい	4	時代	じだい	0	し	じ
3	視点	してん	4	辞典	じてん	0	し	じ
3	視覚	しかく	5	近く	ちかく	0	し	ち
3	資格	しかく	5	近く	ちかく	0	し	ち
4	～ちゃん	～ちゃん	5	～さん	～さん	1	ちゃ	さ
5	～中	～じゅう	5	～中	～ちゅう	1	じゅ	ちゅ
3	ミス	ミス	3	密	みつ	1	す	つ
3	ミス	ミス	5	水	みず	1	す	ず
3	上	じょう	3	像	ぞう	0	じょ	ぞ
3	上	じょう	3	僧	そう	0	じょ	そ
3	上	じょう	3	小	しょう	0	じょ	しょ
3	上	じょう	3	沿う	そう	0	じょ	そ
3	上	じょう	3	添う	そう	0	じょ	そ
3	上	じょう	3	相	そう	0	じょ	そ
3	上	じょう	3	章	しょう	0	じょ	しょ
3	上	じょう	3	象	ぞう	0	じょ	ぞ
3	上	じょう	3	賞	しょう	0	じょ	しょ
3	上	じょう	4	そう	そう	0	じょ	そ
3	中	ちゅう	3	住	じゅう	0	ちゅ	じゅ
3	中	ちゅう	3	州	しゅう	0	ちゅ	しゅ
3	中	ちゅう	3	数	すう	0	ちゅ	す
3	中	ちゅう	3	衆	しゅう	0	ちゅ	しゅ
3	中	ちゅう	3	週	しゅう	0	ちゅ	しゅ
3	中	ちゅう	3	銃	じゅう	0	ちゅ	じゅ
3	中	ちゅう	5	十	じゅう	0	ちゅ	じゅ
3	中	ちゅう	5	吸う	すう	0	ちゅ	す
3	主義	しゅぎ	5	次	つぎ	0	しゅ	つ
3	付く	つく	4	空く	すく	0	つ	す
3	位置	いち	3	医師	いし	1	ち	し
3	位置	いち	3	意地	いじ	1	ち	じ
3	位置	いち	3	意志	いし	1	ち	し
3	位置	いち	3	意思	いし	1	ち	し
3	位置	いち	3	維持	いじ	1	ち	じ
3	位置	いち	4	石	いし	1	ち	し
3	住	じゅう	3	州	しゅう	0	じゅ	しゅ
3	住	じゅう	3	数	すう	0	じゅ	す
3	住	じゅう	3	注	ちゅう	0	じゅ	ちゅ
3	住	じゅう	3	衆	しゅう	0	じゅ	しゅ
3	住	じゅう	3	週	しゅう	0	じゅ	しゅ
3	住	じゅう	5	吸う	すう	0	じゅ	す
3	価値	かち	3	家事	かじ	1	ち	じ
3	価値	かち	3	菓子	かし	1	ち	し
3	価値	かち	3	貸し	かし	1	ち	し
3	価値	かち	4	火事	かじ	1	ち	じ
3	像	ぞう	3	僧	そう	0	ぞ	そ
3	像	ぞう	3	小	しょう	0	ぞ	しょ
3	像	ぞう	3	情	じょう	0	ぞ	じょ
3	像	ぞう	3	沿う	そう	0	ぞ	そ
3	像	ぞう	3	添う	そう	0	ぞ	そ
3	像	ぞう	3	相	そう	0	ぞ	そ
3	像	ぞう	3	章	しょう	0	ぞ	しょ
3	像	ぞう	3	賞	しょう	0	ぞ	しょ
3	像	ぞう	4	そう	そう	0	ぞ	そ
3	僧	そう	3	小	しょう	0	そ	しょ
3	僧	そう	3	情	じょう	0	そ	じょ
3	僧	そう	3	章	しょう	0	そ	しょ
3	僧	そう	3	象	ぞう	0	そ	ぞ
3	僧	そう	3	賞	しょう	0	そ	しょ
3	全	ぜん	4	線	せん	0	ぜ	せ
3	全	ぜん	5	千	せん	0	ぜ	せ
3	刷る	する	4	釣る	つる	0	す	つ
3	刺す	さす	3	札	さつ	1	す	つ
3	勝ち	かち	3	家事	かじ	1	ち	じ
3	勝ち	かち	3	菓子	かし	1	ち	し
3	勝ち	かち	3	貸し	かし	1	ち	し
3	勝ち	かち	4	火事	かじ	1	ち	じ
3	医師	いし	3	市	いち	1	し	ち
3	医師	いし	3	意地	いじ	1	し	じ
3	医師	いし	3	維持	いじ	1	し	じ
3	医師	いし	5	一	いち	1	し	ち
3	善	ぜん	4	線	せん	0	ぜ	せ
3	善	ぜん	5	千	せん	0	ぜ	せ
3	四季	しき	3	時期	じき	0	し	じ
3	四季	しき	3	直	じき	0	し	じ
3	四季	しき	3	磁器	じき	0	し	じ
3	四季	しき	3	磁気	じき	0	し	じ
3	土地	とち	3	都市	とし	1	ち	し
3	土地	とち	5	年	とし	1	ち	し
3	増す	ます	3	末	まつ	1	す	つ
3	増す	ます	3	松	まつ	1	す	つ
3	増す	ます	4	まず	まず	1	す	ず
3	増す	ます	5	待つ	まつ	1	す	つ
3	墨	すみ	3	罪	つみ	0	す	つ
3	墨	すみ	4	趣味	しゅみ	0	す	しゅ
3	姓	せい	3	税	ぜい	0	せ	ぜ
3	家事	かじ	3	菓子	かし	1	じ	し
3	家事	かじ	3	貸し	かし	1	じ	し
3	密	みつ	5	水	みず	1	つ	ず
3	射す	さす	3	札	さつ	1	す	つ
3	小	しょう	3	情	じょう	0	しょ	じょ
3	小	しょう	3	沿う	そう	0	しょ	そ
3	小	しょう	3	添う	そう	0	しょ	そ
3	小	しょう	3	相	そう	0	しょ	そ
3	小	しょう	3	象	ぞう	0	しょ	ぞ
3	小	しょう	4	そう	そう	0	しょ	そ
3	就く	つく	4	空く	すく	0	つ	す
3	尻	しり	4	地理	ちり	0	し	ち
3	岸	きし	3	生地	きじ	1	し	じ
3	岸	きし	3	記事	きじ	1	し	じ
3	州	しゅう	3	数	すう	0	しゅ	す
3	州	しゅう	3	注	ちゅう	0	しゅ	ちゅ
3	州	しゅう	3	銃	じゅう	0	しゅ	じゅ
3	州	しゅう	5	十	じゅう	0	しゅ	じゅ
3	州	しゅう	5	吸う	すう	0	しゅ	す
3	市	いち	3	意地	いじ	1	ち	じ
3	市	いち	3	意志	いし	1	ち	し
3	市	いち	3	意思	いし	1	ち	し
3	市	いち	3	維持	いじ	1	ち	じ
3	市	いち	4	石	いし	1	ち	し
3	建つ	たつ	4	足す	たす	1	つ	す
3	性	せい	3	税	ぜい	0	せ	ぜ
3	情	じょう	3	沿う	そう	0	じょ	そ
3	情	じょう	3	添う	そう	0	じょ	そ
3	情	じょう	3	相	そう	0	じょ	そ
3	情	じょう	3	章	しょう	0	じょ	しょ
3	情	じょう	3	象	ぞう	0	じょ	ぞ
3	情	じょう	3	賞	しょう	0	じょ	しょ
3	情	じょう	4	そう	そう	0	じょ	そ
3	意地	いじ	3	意志	いし	1	じ	し
3	意地	いじ	3	意思	いし	1	じ	し
3	意地	いじ	4	石	いし	1	じ	し
3	意地	いじ	5	一	いち	1	じ	ち
3	意志	いし	3	維持	いじ	1	し	じ
3	意志	いし	5	一	いち	1	し	ち
3	意思	いし	3	維持	いじ	1	し	じ
3	意思	いし	5	一	いち	1	し	ち
3	所為	せい	3	税	ぜい	0	せ	ぜ
3	指す	さす	3	札	さつ	1	す	つ
3	指揮	しき	3	時期	じき	0	し	じ
3	指揮	しき	3	直	じき	0	し	じ
3	指揮	しき	3	磁器	じき	0	し	じ
3	指揮	しき	3	磁気	じき	0	し	じ
3	挿す	さす	3	札	さつ	1	す	つ
3	摘む	つむ	3	清む	すむ	0	つ	す
3	摘む	つむ	3	澄む	すむ	0	つ	す
3	摘む	つむ	4	済む	すむ	0	つ	す
3	摘む	つむ	5	住む	すむ	0	つ	す
3	撃つ	うつ	3	渦	うず	1	つ	ず
3	擦る	する	4	釣る	つる	0	す	つ
3	散る	ちる	5	知る	しる	0	ち	し
3	数	すう	3	注	ちゅう	0	す	ちゅ
3	数	すう	3	衆	しゅう	0	す	しゅ
3	数	すう	3	週	しゅう	0	す	しゅ
3	数	すう	3	銃	じゅう	0	す	じゅ
3	数	すう	5	十	じゅう	0	す	じゅ
3	数	かず	3	歌手	かしゅ	1	ず	しゅ
3	数	かず	4	勝つ	かつ	1	ず	つ
3	数	かず	5	貸す	かす	1	ず	す
3	文字	もじ	4	もし	もし	1	じ	し
3	断つ	たつ	4	足す	たす	1	つ	す
3	日	にち	5	西	にし	1	ち	し
3	末	まつ	4	まず	まず	1	つ	ず
3	札	さつ	3	注す	さす	1	つ	す
3	札	さつ	5	シャツ	シャツ	0	さ	しゃ
3	札	さつ	5	差す	さす	1	つ	す
3	松	まつ	4	まず	まず	1	つ	ず
3	歌手	かしゅ	4	勝つ	かつ	1	しゅ	つ
3	歌手	かしゅ	5	貸す	かす	1	しゅ	す
3	正	せい	3	税	ぜい	0	せ	ぜ
3	沿う	そう	3	章	しょう	0	そ	しょ
3	沿う	そう	3	象	ぞう	0	そ	ぞ
3	沿う	そう	3	賞	しょう	0	そ	しょ
3	注	ちゅう	3	衆	しゅう	0	ちゅ	しゅ
3	注	ちゅう	3	週	しゅう	0	ちゅ	しゅ
3	注	ちゅう	3	銃	じゅう	0	ちゅ	じゅ
3	注	ちゅう	5	十	じゅう	0	ちゅ	じゅ
3	注	ちゅう	5	吸う	すう	0	ちゅ	す
3	添う	そう	3	章	しょう	0	そ	しょ
3	添う	そう	3	象	ぞう	0	そ	ぞ
3	添う	そう	3	賞	しょう	0	そ	しょ
3	清む	すむ	3	積む	つむ	0	す	つ
3	渦	うず	3	討つ	うつ	1	ず	つ
3	渦	うず	4	打つ	うつ	1	ず	つ
3	澄む	すむ	3	積む	つむ	0	す	つ
3	為る	する	4	釣る	つる	0	す	つ
3	牛	うし	4	内	うち	1	し	ち
3	牛	うし	5	うち	うち	1	し	ち
3	生	せい	3	税	ぜい	0	せ	ぜ
3	相	そう	3	章	しょう	0	そ	しょ
3	相	そう	3	象	ぞう	0	そ	ぞ
3	相	そう	3	賞	しょう	0	そ	しょ
3	知事	ちじ	5	父	ちち	1	じ	ち
3	禅	ぜん	4	線	せん	0	ぜ	せ
3	禅	ぜん	5	千	せん	0	ぜ	せ
3	税	ぜい	5	背	せい	0	ぜ	せ
3	積む	つむ	4	済む	すむ	0	つ	す
3	積む	つむ	5	住む	すむ	0	つ	す
3	突く	つく	4	空く	すく	0	つ	す
3	章	しょう	3	象	ぞう	0	しょ	ぞ
3	章	しょう	4	そう	そう	0	しょ	そ
3	端	はし	5	八	はち	1	し	ち
3	節	ふし	3	縁	ふち	1	し	ち
3	経つ	たつ	4	足す	たす	1	つ	す
3	維持	いじ	4	石	いし	1	じ	し
3	維持	いじ	5	一	いち	1	じ	ち
3	罪	つみ	3	角	すみ	0	つ	す
3	罪	つみ	4	趣味	しゅみ	0	つ	しゅ
3	罪	つみ	4	隅	すみ	0	つ	す
3	膳	ぜん	4	線	せん	0	ぜ	せ
3	膳	ぜん	5	千	せん	0	ぜ	せ
3	菓子	かし	4	火事	かじ	1	し	じ
3	衆	しゅう	3	銃	じゅう	0	しゅ	じゅ
3	衆	しゅう	5	十	じゅう	0	しゅ	じゅ
3	衆	しゅう	5	吸う	すう	0	しゅ	す
3	角	すみ	4	趣味	しゅみ	0	す	しゅ
3	象	ぞう	3	賞	しょう	0	ぞ	しょ
3	象	ぞう	4	そう	そう	0	ぞ	そ
3	貸し	かし	4	火事	かじ	1	し	じ
3	賞	しょう	4	そう	そう	0	しょ	そ
3	週	しゅう	3	銃	じゅう	0	しゅ	じゅ
3	週	しゅう	5	十	じゅう	0	しゅ	じゅ
3	週	しゅう	5	吸う	すう	0	しゅ	す
3	釣	つり	4	すり	すり	0	つ	す
3	銃	じゅう	5	吸う	すう	0	じゅ	す
4	まず	まず	5	待つ	まつ	1	ず	つ
4	勝つ	かつ	5	貸す	かす	1	つ	す
4	味	あじ	5	足; 脚	あし	1	じ	し
4	月	つき	5	好き	すき	0	つ	す
4	点く	つく	4	空く	すく	0	つ	す
4	石	いし	5	一	いち	1	し	ち
4	空く	すく	5	着く	つく	0	す	つ
4	趣味	しゅみ	4	隅	すみ	0	しゅ	す
4	足す	たす	5	立つ	たつ	1	す	つ
4	釣る	つる	5	する	する	0	つ	す
5	いつ	いつ	5	椅子	いす	1	つ	す
5	七	しち	5	父	ちち	0	し	ち
5	八	はち	5	橋	はし	1	ち	し
5	八	はち	5	箸	はし	1	ち	し
5	十	じゅう	5	吸う	すう	0	じゅ	す
3	図	ず	3	巣	す	0	ず	す
3	図	ず	3	酢	す	0	ず	す
3	地	ち	3	死	し	0	ち	し
3	地	ち	3	氏	し	0	ち	し
3	地	ち	3	詩	し	0	ち	し
3	地	ち	4	字	じ	0	ち	じ
3	地	ち	4	市	し	0	ち	し
3	地	ち	5	四	し	0	ち	し
3	差	さ	3	茶	ちゃ	0	さ	ちゃ
3	死	し	4	字	じ	0	し	じ
3	死	し	4	血	ち	0	し	ち
3	氏	し	4	字	じ	0	し	じ
3	氏	し	4	血	ち	0	し	ち
3	詩	し	4	字	じ	0	し	じ
3	詩	し	4	血	ち	0	し	ち
4	字	じ	4	市	し	0	じ	し
4	字	じ	4	血	ち	0	じ	ち
4	字	じ	5	四	し	0	じ	し
4	市	し	4	血	ち	0	し	ち
4	血	ち	5	四	し	0	ち	し
